,id,smart1,smart2,smartL,summary_type,rouge-1,rouge-2,rouge-l,SummaCZS,SummaCZS_no_con,SummaConv
597,91d43f137b3d928561fb62b200ae40aee4a34b73,38.714404191685375,26.92278222191623,38.714404191685375,occams_gpt_summ,0.3124999950195313,0.1944444394444446,0.3124999950195313,0.2547607421875,0.626220703125,0.4251263737678528
598,91d43f137b3d928561fb62b200ae40aee4a34b73,27.090801637685146,18.05945605634322,24.991656367458635,gpt_gpt_summ,0.21621621124908705,0.025641020670612403,0.18918918422206002,0.041585286458333336,0.723876953125,0.5652956962585449
599,91d43f137b3d928561fb62b200ae40aee4a34b73,23.13354240280462,16.939770315857306,22.855893641213292,gpt_a_summ,0.1791044726130543,0.05797100950220585,0.1791044726130543,-0.08744303385416667,0.5439860026041666,0.32607775926589966
600,cafb6a9801a85984042abcd7e552d1e129dff4cf,25.555281596500706,17.316640852563438,22.25071206951473,occams_summ_f,0.20779220281329072,0.04651162295024391,0.18181817683926477,0.1640625,0.9934895833333334,0.9088953733444214
601,cafb6a9801a85984042abcd7e552d1e129dff4cf,19.8842114905722,13.615873805863826,18.717095948308287,occams_gpt_summ,0.09374999507812526,0.0298507414034314,0.06249999507812539,-0.3787434895833333,0.49462890625,0.4025723934173584
602,cafb6a9801a85984042abcd7e552d1e129dff4cf,24.33244642438897,16.653824220361813,24.28946808094718,gpt_gpt_summ,0.1587301538321997,0.06060605577135025,0.1587301538321997,-0.078857421875,0.7554524739583334,0.6554697155952454
603,cafb6a9801a85984042abcd7e552d1e129dff4cf,18.42735277186814,12.563281686541112,16.535116467629752,gpt_a_summ,0.17543859183748858,0.0,0.17543859183748858,-0.3603057861328125,0.5665740966796875,0.5113155841827393
604,dc8ce4207b91a323bf6e2fbab889efeed22aa428,28.005281536125953,18.112602227818027,28.005281536125953,occams_summ_f,0.2999999950500001,0.09090908593233499,0.27499999505000006,0.172119140625,0.994384765625,0.8980196118354797
605,dc8ce4207b91a323bf6e2fbab889efeed22aa428,31.0208095903523,22.52465564986396,31.0208095903523,occams_gpt_summ,0.2926829218560381,0.0898876354652193,0.2682926779535991,0.07663981119791667,0.4841512044270833,0.36405447125434875
606,dc8ce4207b91a323bf6e2fbab889efeed22aa428,22.453994744167108,16.322040525282763,22.211229103584316,gpt_gpt_summ,0.13698629658097222,0.0,0.10958903630699965,0.12697347005208334,0.6801961263020834,0.5579825639724731
607,dc8ce4207b91a323bf6e2fbab889efeed22aa428,22.113715393744556,16.378083493390815,21.270009220549625,gpt_a_summ,0.18181817692022278,0.023809518880386505,0.12987012497217088,-0.07920328776041667,0.6941121419270834,0.4201565980911255
608,578d4784656d2b462895cfc89b3481a231ebfb51,37.308541642409516,19.803038338268383,37.308541642409516,occams_summ_f,0.28571428094387763,0.10526315315481707,0.28571428094387763,0.9802474975585938,0.994140625,0.8703481554985046
609,578d4784656d2b462895cfc89b3481a231ebfb51,36.63346547431016,19.372591770335134,36.63346547431016,occams_gpt_summ,0.23529411320261448,0.11764705451749341,0.23529411320261448,0.974945068359375,0.9892578125,0.7686871290206909
610,578d4784656d2b462895cfc89b3481a231ebfb51,31.97113182669065,16.446876573818052,31.97113182669065,gpt_gpt_summ,0.23333332842222232,0.09230768733727837,0.23333332842222232,-0.01654815673828125,0.00464630126953125,0.20128247141838074
611,578d4784656d2b462895cfc89b3481a231ebfb51,33.17108231686296,22.3258223231609,33.17108231686296,gpt_a_summ,0.1904761855076847,0.06249999504394571,0.1904761855076847,0.8813591003417969,0.89453125,0.49393388628959656
612,54b3de3ff92f0898b0b0d1e14c618492c53b0927,25.30857786186905,17.373644138733795,25.029867699435474,occams_summ_f,0.24242423749770445,0.0,0.21212120719467414,0.70721435546875,0.995361328125,0.9106520414352417
613,54b3de3ff92f0898b0b0d1e14c618492c53b0927,25.795996557815172,18.617302589618397,25.795996557815172,occams_gpt_summ,0.2985074577767878,0.0,0.23880596523947437,-0.030426025390625,0.4850362141927083,0.34755876660346985
614,54b3de3ff92f0898b0b0d1e14c618492c53b0927,22.14270915962929,15.29361222274336,22.14270915962929,gpt_gpt_summ,0.11111110613854619,0.0,0.11111110613854619,0.0257568359375,0.55279541015625,0.4609956741333008
615,54b3de3ff92f0898b0b0d1e14c618492c53b0927,23.552094756496995,17.607982612107502,23.552094756496995,gpt_a_summ,0.22222221725371644,0.0,0.1904761855076847,0.202789306640625,0.68145751953125,0.3002731204032898
616,7131adb6b95357a143b10c426857c25926c282ab,31.00717316773519,22.18153976686661,31.00717316773519,occams_summ_f,0.2142857092970523,0.047058818535640666,0.2142857092970523,0.4723307291666667,0.9933268229166666,0.9164819717407227
617,7131adb6b95357a143b10c426857c25926c282ab,32.98389892648728,21.68130872938567,32.98389892648728,occams_gpt_summ,0.17543859230532483,0.0350877152600805,0.17543859230532483,-0.1287841796875,0.6939697265625,0.5440559387207031
618,7131adb6b95357a143b10c426857c25926c282ab,38.48551813140608,25.027362477711808,38.48551813140608,gpt_gpt_summ,0.3561643786076187,0.07792207294316106,0.2465753375117284,-0.269287109375,0.3487548828125,0.3070674240589142
619,7131adb6b95357a143b10c426857c25926c282ab,28.76577931605728,19.11320846780864,28.352862276051162,gpt_a_summ,0.16438355668981064,0.0789473634522164,0.16438355668981064,0.028559366861979168,0.5349884033203125,0.41377493739128113
620,9f997964709283520a65d2ce75de7c8b154ce351,43.96069205351424,31.853164595365463,43.89906545850224,occams_summ_f,0.37209301826663066,0.19565216891540654,0.37209301826663066,0.58056640625,0.9931640625,0.9002066254615784
621,9f997964709283520a65d2ce75de7c8b154ce351,21.054668726753913,15.091826582941694,21.054668726753913,occams_gpt_summ,0.26506023599941947,0.0,0.21686746491508213,0.190887451171875,0.70068359375,0.5680964589118958
622,9f997964709283520a65d2ce75de7c8b154ce351,30.004038979534094,21.391923227202394,30.004038979534094,gpt_gpt_summ,0.3589743540927022,0.0697674369037321,0.3076923028106509,-0.18266805013020834,0.345855712890625,0.36072996258735657
623,9f997964709283520a65d2ce75de7c8b154ce351,28.0883453721557,18.486479346450732,28.0883453721557,gpt_a_summ,0.3055555508680556,0.05128204649243963,0.24999999531250006,-0.2397918701171875,0.4774932861328125,0.33038535714149475
