,Smart1,Smart2,SmartL
0,23.487300763858656,19.520973954579585,21.659856454724828
1,27.403541275136686,21.54751552184581,25.439216012420935
2,28.421127680148516,23.261923851755583,26.618658052116142
3,22.325116146977365,18.856217935499043,20.916259994218418
4,31.21652759464451,25.78641987971744,29.68531926945203
5,26.150980878210017,21.56586274430713,24.954856865148027
6,21.652001450953858,18.38263381512186,20.972608592697913
7,39.00951185738755,32.892946132936636,37.735176828701256
8,24.287376624902876,19.120671051939617,22.328275911458896
9,24.17920492045799,19.091368037104026,22.157783022340528
10,28.498067135317864,22.967241502297284,26.374983861676593
11,28.863917175003913,23.04890471471838,25.457637547239727
12,23.882102238629294,20.106854756926,22.05193898147756
13,27.84542038846437,22.518015588503904,26.249106369482206
14,29.26745574428878,23.70936921782768,25.31386912354669
15,27.170072066675914,22.23792143867822,26.714079090597835
16,24.60391613976699,19.64641002861006,23.016262774718893
17,57.58837994358987,45.963242252105665,57.58837994358987
18,31.406420460477953,24.76107865458228,29.584386653088924
19,37.312139918426,31.280189709861084,33.87642069092637
20,26.767731142570643,21.164329817957444,24.53317506069244
21,23.92513362188961,19.951998503788296,21.875267068482405
22,24.6007232522583,20.129838519549995,23.84562750033847
23,24.709310601793305,20.195789825721747,23.21875360043443
24,25.92614465033296,21.81160629976325,24.029360678724135
25,28.32270211959006,23.16792471493946,27.175050035383723
26,50.07982301823925,41.95914428156757,48.35929908704393
27,25.906889043495,20.130585017715095,24.95525943904103
28,48.85562928577848,42.80420361201646,44.67642168795599
29,32.881230659336595,27.334919489007238,30.831490949456526
30,26.475220894324377,21.21338906236712,24.56952899082329
31,25.611114017840023,21.194539992511345,23.822459604987472
32,30.34166271027641,24.547681948103083,26.85080408392778
33,20.855896499861057,17.503812196662523,20.536838818642856
34,27.42729531446436,23.371280239227584,25.945526662867284
35,20.264249504341716,15.922025258697918,19.155438017549788
36,19.874368222316125,16.25377066963251,18.02115343649921
37,33.89964759529945,27.655927643067265,31.222611560329184
38,26.528935501787032,22.053760106859347,25.673886217340158
39,27.33910192000718,22.191980796907593,25.763501786027927
40,35.43639127064965,28.907288251049728,34.49174096885488
41,33.1003363153812,25.90046694553786,31.876907344726444
42,29.566759495846288,24.817541872601744,28.177829003969023
43,20.54875550379162,16.516200294211025,20.16244645584374
44,32.746143560928324,27.274761230675754,28.893303423277136
45,21.570964257568033,17.907329038924175,20.097872432035636
46,28.979419838791536,24.2632359605084,26.078664875634242
47,35.54553695030832,27.41963731163251,35.54553695030832
48,40.50573687553159,34.44416519943708,37.41323907599632
49,32.48573869297621,27.66800604582621,32.19106650355818
50,30.316904249543363,25.17219884301588,30.115907585405147
51,22.51212682299193,19.09429831230247,21.89464239698399
52,45.37301508105696,36.580595961210626,43.172045738706856
53,25.69505008630262,21.667798228675892,24.56970993735331
54,33.113636645451685,27.396959542377,29.90138094709675
55,21.996014957708628,18.830755430964313,20.759061933321018
56,23.10706188808542,19.079810103785896,21.85468439223341
57,33.24617198545561,28.52873324159675,30.359598549411814
58,27.28500898072422,23.150067974322763,26.263181670313365
59,33.267034319760874,25.63420045642303,29.100931469249605
60,26.01819210482326,21.442224046370413,23.868025253307913
61,30.10292654378708,24.265553206461462,28.69140504490681
62,51.06745266742237,39.88438629009431,47.45464123997251
63,29.377369219931822,23.872129072418307,28.691340068300388
64,24.90607342815204,19.898200464084876,23.642070862367454
65,28.1024208885897,23.01201024739509,27.375254020210622
66,21.14131659430312,18.030585238954206,20.832757750150876
67,23.88243840412875,19.047038505837307,22.449458631139514
68,31.294311020326006,26.171494419575975,30.821247945389484
69,36.92361951024985,29.411449341149392,34.54464366999385
70,44.01291280306359,36.69967980407214,42.81809131034653
71,31.677536155987376,27.749934335729204,30.770299785907717
72,29.901759321332854,24.58221318040313,28.356760078666237
73,23.35087351355399,20.267124388871395,23.030031269601
74,65.99898714195268,55.919925052002576,64.55137256404011
75,24.52330515608962,20.422734988605797,22.953046585300957
76,31.332173704653197,24.965532066786373,30.407588846593473
77,33.34578124359317,26.57751323814172,29.80210292076573
78,28.281305976824605,23.96108808380642,26.134044640855528
79,23.573411611045472,19.124112995425463,23.166061549949738
80,35.6271531938522,27.155652339434198,34.528375692312814
81,26.151714274789203,20.56146210487677,24.424855432423723
82,27.06596883393959,22.443302318991147,26.877902123580462
83,29.628335254102,23.848018642874212,28.285539543364706
84,30.57408943041729,24.660379727760034,29.123105985069905
85,26.058695190365608,21.539198454540756,25.027174804690695
86,31.61604288958404,25.535863644991846,28.991399809903854
87,34.75039144798262,28.8007760858233,34.26189575642428
88,26.66527967643165,21.962311753674054,24.550211073325894
89,27.791546753195888,23.62734751780122,26.071726740293048
90,33.49549203979578,27.214978536250438,33.32267526882082
91,27.492010888556734,23.153394438649908,26.84557966121226
92,26.94125155789447,22.970627478145737,26.156259621922324
93,28.46686048181524,23.011989979564728,28.029613456680796
94,37.903339510771445,29.65159756292355,33.952915483525956
95,24.872297254473818,20.516276034840388,24.26669643321236
96,19.051075515771256,13.787114310305165,17.82593174973752
97,42.14801796092391,33.798304465957074,40.15580170969089
98,30.125610099365847,24.739098565275643,28.46634348664474
99,29.55074840982114,23.3633663621578,27.515857032390397
100,31.444247335004384,24.759834738011335,28.691321707010076
101,23.75400010933361,19.536475189407554,21.68080422535342
102,70.96843059217719,56.786036150278214,68.35423332446753
103,30.70902596292938,25.198559459259766,29.919602463057146
104,44.70285548361917,37.076142245875246,41.61327424460697
105,36.59096132300289,31.134048510356173,35.35216728608461
106,26.781399568833375,22.206168874356155,25.492818676991032
107,36.550499264474695,26.837960181767773,33.396625180227275
108,50.870678273056505,42.744403221832115,49.529330270218864
109,79.43895713377329,67.94462707437478,79.04899869328761
110,30.667424997425393,24.838067242046517,26.996944194997052
111,20.590285116599187,18.111499355590023,20.01234904605283
112,36.07700831060558,29.401882900806502,33.53211768375542
113,18.124202055951773,15.419536932346308,17.48293976718715
114,26.203168147898186,22.532809002638256,24.85753568401133
115,31.04631089115079,24.732066321446947,30.737155665946332
116,25.898404138750536,21.60485672272877,25.32823864291843
117,42.154406312575595,36.34492938336017,40.84543440109346
118,34.03959410432642,28.571974157126256,32.95002731158033
119,30.583539765054027,24.037850190220556,25.98999335064419
120,24.550304324214462,19.440560554821896,23.60961161578217
121,33.31138167212246,26.354171083704994,31.89402025700952
122,26.43091025306708,21.41643781471378,24.910172072606702
123,22.318084925054002,19.02959174312849,21.92325905907433
124,25.826569160615062,21.625948254396295,25.26818004860408
125,27.16173189333741,22.781916167269273,24.217851891349667
126,34.02570932779816,28.771077458954306,31.34262910411821
127,24.8674394045971,20.699831461451154,23.728731131787352
128,25.86405355366272,21.6786313940009,25.312264137725087
129,22.716217139007036,18.862061586365616,20.593041089718295
130,24.159558326206245,19.49353603489286,20.52100812449694
131,29.582848857450315,23.011172530931354,28.214028511447847
132,24.053038792428826,20.212467341930225,22.350743091123956
133,22.853141349900326,19.167419699076934,21.40717963580779
134,43.53879269239914,35.77186591521131,39.690159606315135
135,42.11603587636656,32.13721151239678,39.433235444876296
136,31.152457664118657,24.752094373425304,30.422559566005173
137,19.926083263255446,17.187723849257992,18.974029971370822
138,42.6553241657188,33.900708164400385,42.53747843969895
139,29.2794196809372,23.484849721904368,27.737246687304392
140,27.904632345657078,21.477049116843443,26.07205981171343
141,34.2889559466772,27.925161860064808,33.4089006376285
142,66.37615156023602,56.451361848558996,65.63727423938646
143,26.903394219459415,21.83211607694071,25.57556794700355
144,27.0550443100425,22.131604736639574,25.983930092602595
145,32.17546556919385,26.89678267991191,30.91109780109004
146,28.410352369686816,24.394818307739087,27.444200026981854
147,29.679982276995027,23.752096095791263,28.502089011320553
148,31.834016534956067,25.69721202564033,29.19981021589843
149,22.953286145423434,18.81756041531591,22.01044011646174
150,31.559004315146417,25.190122885564808,29.2501119813834
151,36.25907186565962,28.717004927534525,30.3108123557683
152,29.277449957746587,23.837616258812844,28.1387642962219
153,25.89102425372664,21.603280703963772,25.452777342309297
154,22.14267926474368,18.670439561923438,21.19233216369935
155,27.890919451230076,24.302769451924306,25.409196832275924
156,26.591941081531075,21.43432359528931,24.260766382537785
157,24.031555413815074,20.21174794688153,22.736481520152083
158,37.30911429685824,27.72912306435237,36.57717076679507
159,30.36351295247862,25.54571561007973,28.248993726414074
160,29.917468962629,24.048261785757393,29.64018283549435
161,28.449770366306964,22.74234220417187,28.153388667124705
162,29.685521879334335,24.264047761740674,26.641332475066918
163,25.662032066925942,20.90365678312009,24.202221368890132
164,21.55655699844603,16.130375814689202,21.02544502409997
165,21.23690914430247,18.540631375604345,20.114411833820878
166,43.87430639456869,34.12186158573397,41.70594989473799
167,21.575609868384138,18.210775735065365,20.790653877131554
168,22.253842763816742,18.403292824181012,21.42522283070579
169,61.93916543007505,54.443538011052034,61.449729453145814
170,31.727171017174857,26.14847738197273,29.371021910122284
171,25.91904139363138,20.724306658287514,25.41029501852143
172,32.8929602479606,26.74736786425973,31.20443502031568
173,32.12285571160538,24.235764572398555,28.956622962754405
174,28.72295775276725,23.56253712133597,27.25956585709011
175,46.28584702335543,35.70947051071009,42.981898777148245
176,63.577468191597106,52.36805106547742,59.483013624440495
177,37.76941348004138,30.481511605799962,35.51916122154311
178,31.04784596968293,24.419181520900736,28.89053598348699
179,29.183674545293943,23.815029335208795,26.812212609149654
180,25.41007510613833,20.437400383299227,24.1612939932865
181,28.03383195599406,21.89120634649341,26.6260651851526
182,56.82087565965092,49.68646295754862,56.355751386099364
183,29.355182440604406,24.787378942232007,28.68017466573564
184,18.959253927104072,15.788170109224524,18.257154061577495
185,22.312269728981136,19.506962289991193,22.266639610909966
186,24.208285952103495,20.1396341605773,22.394280194541277
187,42.1343775504643,34.40362438064804,39.530265057531274
188,30.311249214660844,25.101986642345647,27.786964960327975
189,33.35157195413971,27.71288306454866,32.77062657074829
190,24.113942926718064,18.866858975030283,22.805286831723304
191,29.719444356603393,24.829151648536705,29.01208869396574
192,25.67503033430081,21.087197489412908,24.093905355378617
193,36.2511305285627,28.04512188164765,33.14310113666221
194,29.899884498869522,24.761385254097824,29.119825283123443
195,22.247342564416456,18.831499379980585,21.702367055402384
196,23.73120973718994,19.779679017325716,23.550231054000747
197,37.47037240710972,28.767647162303174,36.77020358050415
198,32.5990008044532,25.477242888639093,31.11310889489292
199,29.68507426737323,24.05504199493429,26.308864169342474
200,29.923158124091792,24.552351415484267,29.381867729341423
201,67.10104757756207,58.81252100787538,66.93849278976627
202,26.62385903268916,22.17654076974925,25.509914114772183
203,52.245540542073535,45.71604221748916,52.07788203063828
204,20.388501248009756,17.71448429491451,19.559472655498165
205,49.87334602704001,43.621323188139804,46.49217496071278
206,29.90543043505188,23.99708780232683,29.087207141142443
207,28.255572102522304,22.264551622190137,27.724548605774395
208,19.147326786675322,15.878605200554048,18.223671962586707
209,28.484341315468416,23.587607491716426,26.025588364699423
210,24.856773234379492,20.213345523401415,23.637073219109308
211,28.48202306542183,23.382606095431928,27.568014086120794
212,25.93031180451155,21.25563432829679,25.19977796776581
213,26.542789293530525,22.6044223492402,25.75667196592204
214,29.774716780767474,24.962541606760485,28.027364492507967
215,28.036318357632815,23.022230382063064,26.553497469168683
216,33.84338776372538,28.588807233273137,32.26908178473841
217,22.04360373708133,17.238804316429956,20.957579167317267
218,17.782577379351785,15.341112627768922,16.671558475255537
219,32.69157714911746,28.2219196116218,30.48722305910219
220,70.35433858602377,57.92713805096009,69.56282338733921
221,40.97546507676988,33.91493297345482,39.32993120006134
222,30.219053306608796,24.822469505558022,29.302739774197313
223,27.34828153560361,22.502110793815767,25.325956040076658
224,49.267306699801836,39.8227039043229,41.781777615320436
225,35.02138281666352,26.516778941346082,31.39120968253732
226,35.35469713480661,29.739354153336816,32.14318060834717
227,27.272313968023624,22.703919566722615,25.715612266994878
228,30.55385102224424,25.698491869738497,27.397269153984848
229,24.04436975753226,20.832515648013683,23.468393964079016
230,31.723431429021677,25.802104629749103,30.70292724959942
231,21.261871120616256,17.419751849960445,20.653925021470574
232,21.857660349365894,17.834748546091102,21.02532282863577
233,23.134008757845358,19.652512003411168,21.781214493620183
234,34.31781146203295,27.984447795615832,32.105148114238276
235,27.255773736197202,23.030052313798,26.597500220726314
236,23.16978203028813,19.601485737781243,20.832232246381224
237,29.732160061516815,24.045730893219517,27.579985921607687
