fact,qags,rouge1,rouge2,rougeL
0.5,0.19047619047619047,0.04697380307136405,0.011039558417663293,0.045167118337850046
0.6666666666666666,0.3118279569892473,0.13162118780096307,0.058919803600654665,0.10914927768860354
0.2857142857142857,0.10434782608695652,0.08914285714285713,0.02115158636897768,0.07771428571428571
1.0,0.41839080459770117,0.1430921052631579,0.07370184254606366,0.1299342105263158
0.2857142857142857,0.14285714285714285,0.07368421052631578,0.02680965147453083,0.0631578947368421
0.25,0.21091954022988504,0.06423357664233577,0.020895522388059702,0.05547445255474452
0.125,0.14545454545454545,0.08888888888888889,0.0141643059490085,0.07777777777777778
0.6428571428571429,0.13793103448275862,0.09603658536585366,0.027950310559006215,0.07317073170731707
0.14285714285714285,0.08838383838383838,0.059160305343511445,0.007782101167315175,0.049618320610687015
0.25,0.1597222222222222,0.07058823529411765,0.01,0.0588235294117647
0.0,0.04444444444444444,0.06734992679355782,0.021052631578947368,0.06149341142020498
0.15384615384615385,0.23541666666666666,0.06886446886446886,0.019388516032811335,0.05860805860805861
0.9,0.44000000000000006,0.09981515711645102,0.04405286343612335,0.09242144177449167
1.0,0.35185185185185186,0.04916943521594685,0.012286689419795223,0.04651162790697675
0.0,0.12,0.10337078651685394,0.03695150115473441,0.09438202247191012
0.0,0.0101010101010101,0.02705749718151071,0.00461361014994233,0.02705749718151071
0.0,0.11056910569105691,0.051789794364051796,0.004654771140418929,0.04722010662604721
0.25,0.5,0.12448132780082988,0.042735042735042736,0.0912863070539419
0.0,0.10599078341013825,0.06065711878685762,0.0017167381974248928,0.04886267902274642
0.0,0.0625,0.03985507246376812,0.009225092250922507,0.03985507246376812
0.6666666666666666,0.4047619047619047,0.1258741258741259,0.04066985645933015,0.0979020979020979
0.6363636363636364,0.5551948051948051,0.15969581749049427,0.08582574772431728,0.14955640050697086
0.6666666666666666,0.12043010752688171,0.12449255751014884,0.036061026352288486,0.10825439783491202
0.42857142857142855,0.11724137931034483,0.07833163784333672,0.012435233160621763,0.06714140386571718
0.5,0.6621621621621622,0.15886833514689883,0.09343715239154615,0.13928182807399345
1.0,0.45,0.1313131313131313,0.046875,0.11111111111111112
0.0,0.25,0.08488964346349745,0.024432809773123905,0.07130730050933785
0.2727272727272727,0.3,0.08083441981747067,0.045393858477970624,0.07040417209908736
0.6,0.5543010752688172,0.20193637621023514,0.13295615275813297,0.18533886583679113
0.25,0.1943562610229277,0.06882168925964546,0.014909478168264115,0.056308654848800835
0.0,0.355,0.1276595744680851,0.03070175438596491,0.09361702127659573
0.5,0.35124135124135125,0.0731070496083551,0.018817204301075266,0.06266318537859007
0.45454545454545453,0.5127551020408163,0.12533333333333332,0.06539509536784742,0.096
0.2,0.11904761904761904,0.03697478991596639,0.0069084628670120895,0.033613445378151266
0.2,0.5035714285714287,0.060225846925972396,0.020434227330779056,0.057716436637390206
0.5,0.1968253968253968,0.06666666666666667,0.015527950310559006,0.06666666666666667
0.0,0.04444444444444444,0.0651890482398957,0.024032042723631505,0.05997392438070403
0.5,0.7846153846153846,0.07592190889370933,0.020224719101123594,0.06724511930585683
0.0,0.25675675675675674,0.04904214559386973,0.009382329945269741,0.04597701149425287
0.0,0.09920634920634921,0.08676789587852494,0.019867549668874173,0.0737527114967462
0.0,0.010416666666666666,0.024262029923170236,0.005768438401318501,0.022644561261625555
0.4444444444444444,0.3759920634920635,0.07765314926660914,0.028144239226033423,0.06729939603106126
0.0,0.5096774193548387,0.12480499219968799,0.03179650238473768,0.1029641185647426
0.0,0.046296296296296294,0.055155875299760196,0.0024509803921568627,0.04796163069544365
0.25,0.4594285714285714,0.22727272727272727,0.10880829015544043,0.19696969696969696
0.3333333333333333,0.12203112203112201,0.06848520023215322,0.011827321111768185,0.05571677307022635
0.5,0.21118012422360247,0.1847246891651865,0.04735883424408014,0.13499111900532862
0.0,0.21739130434782605,0.0636182902584493,0.012320328542094456,0.0636182902584493
0.5,0.13333333333333333,0.0823529411764706,0.0224887556221889,0.07205882352941177
0.0,0.10344827586206896,0.055020632737276476,0.009341429238673517,0.052269601100412656
0.5,0.3229166666666667,0.095,0.020618556701030927,0.08499999999999999
0.0,0.07857142857142858,0.024506873879258817,0.0018292682926829267,0.021518230723251642
0.75,0.5833333333333333,0.1633281972265023,0.10393700787401576,0.14791987673343604
0.3333333333333333,0.13157894736842105,0.029051987767584095,0.006240249609984399,0.027522935779816515
0.5,0.19047619047619047,0.024117140396210168,0.003511852502194908,0.024117140396210168
0.6363636363636364,0.7894736842105263,0.12190812720848057,0.08348457350272234,0.12014134275618372
0.4,0.304029304029304,0.120617110799439,0.05150214592274678,0.10939691444600279
1.0,0.14285714285714285,0.12716763005780346,0.03012048192771084,0.11560693641618497
0.25,0.06666666666666667,0.06540447504302925,0.017825311942959,0.06540447504302925
0.5,0.34523809523809523,0.08695652173913045,0.03981264637002342,0.08009153318077804
0.6470588235294118,0.32142857142857145,0.0862533692722372,0.024725274725274724,0.07277628032345014
0.6666666666666666,0.3854938271604939,0.1567489114658926,0.041604754829123326,0.13352685050798258
0.9523809523809523,0.8992481203007519,0.18268315889628922,0.13605442176870752,0.1712654614652712
1.0,0.3229166666666667,0.10479573712255773,0.034482758620689655,0.08703374777975133
0.0,0.14814814814814814,0.09331919406150582,0.028353326063249727,0.08059384941675503
0.25,0.3831845238095238,0.09724770642201834,0.02059925093632959,0.08440366972477065
0.0,0.0625,0.03203661327231121,0.002336448598130841,0.03203661327231121
0.4,0.35294117647058826,0.06666666666666667,0.017543859649122806,0.06285714285714285
0.5714285714285714,0.6623376623376623,0.15561959654178673,0.11538461538461539,0.14985590778097982
1.0,0.19963369963369965,0.054527750730282376,0.027860696517412933,0.052580331061343716
0.0,0.14166666666666666,0.0310296191819464,0.005772005772005772,0.0310296191819464
0.0,0.125,0.06294416243654823,0.010471204188481676,0.05482233502538071
0.4,0.0967741935483871,0.06526806526806528,0.004750593824228029,0.055944055944055944
0.5,0.11403508771929824,0.06464646464646466,0.02263374485596708,0.05656565656565656
0.3333333333333333,0.22817460317460317,0.07186544342507645,0.0265210608424337,0.06422018348623854
0.25,0.19999999999999998,0.1486988847583643,0.0423076923076923,0.13011152416356878
